SiteName,County,PSI,MajorPollutant,Status,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,PublishTime
麥寮,雲林縣,66,懸浮微粒,普通,2.4,0.23,48,143,28,5.7,,,2,2015-01-28 13:00
關山,臺東縣,32,,良好,1.6,,38,12,1,6,3.2,64,1,2015-01-28 13:00
馬公,澎湖縣,49,,良好,0.9,0.23,44,49,23,2.6,7.9,82,2,2015-01-28 13:00
金門,金門縣,53,懸浮微粒,普通,,,37,54,26,,5.7,60,3,2015-01-28 13:00
馬祖,連江縣,43,,良好,,,,,,,5.5,59,3,2015-01-28 13:00
埔里,南投縣,42,,良好,1,0.36,41,24,19,7.9,3.7,293,3,2015-01-28 13:00
復興,高雄市,75,懸浮微粒,普通,8.1,1.09,21,116,66,43,1.1,218,8,2015-01-28 13:00
永和,新北市,30,,良好,3.1,0.5,26,37,17,20,2.7,89,2,2015-01-28 13:00
竹山,南投縣,0,,,2,0.57,33,68,45,10,1.6,211,3,2015-01-28 13:00
中壢,桃園市,47,,良好,2.9,0.64,27,50,7,20,2.6,144,1,2015-01-28 13:00
三重,新北市,52,懸浮微粒,普通,2.5,1.42,,60,9,35,,,1,2015-01-28 13:00
冬山,宜蘭縣,32,,良好,0.3,0.21,39,17,4,5.5,1.6,262,1,2015-01-28 13:00
宜蘭,宜蘭縣,32,,良好,1.5,0.35,38,34,18,9.4,1.1,178,2,2015-01-28 13:00
陽明,臺北市,0,,,,,41,,,,,,,2015-01-28 13:00
花蓮,花蓮縣,29,,良好,1.6,0.33,35,13,0,13,4.1,56,1,2015-01-28 13:00
臺東,臺東縣,34,,良好,1.1,0.43,41,16,4,6.7,2.8,96,1,2015-01-28 13:00
恆春,屏東縣,40,,良好,0.9,0.23,49,18,5,1.9,12,46,1,2015-01-28 13:00
潮州,屏東縣,85,懸浮微粒,普通,3.8,0.54,54,127,59,12,2.7,244,7,2015-01-28 13:00
屏東,屏東縣,76,懸浮微粒,普通,18,1.47,43,150,83,56,2,193,8,2015-01-28 13:00
小港,高雄市,82,懸浮微粒,普通,13,0.78,34,142,69,36,2.5,267,8,2015-01-28 13:00
前鎮,高雄市,71,懸浮微粒,普通,18,0.81,30,98,62,39,2.3,287,7,2015-01-28 13:00
前金,高雄市,66,懸浮微粒,普通,5.2,0.83,49,96,57,23,1.9,314,6,2015-01-28 13:00
左營,高雄市,64,懸浮微粒,普通,6.5,0.86,48,88,40,28,2.6,286,4,2015-01-28 13:00
楠梓,高雄市,64,懸浮微粒,普通,,,,,,,1.5,231,5,2015-01-28 13:00
林園,高雄市,58,懸浮微粒,普通,7.3,0.76,42,49,43,23,3.2,288,7,2015-01-28 13:00
大寮,高雄市,84,懸浮微粒,普通,20,1.15,28,141,84,45,2.1,238,10,2015-01-28 13:00
